latitude,longitude,photocount,marker_title
40.788232,-73.927871,132,
40.886753,-73.838231,2,
40.749604,-73.985703,2,
40.761944,-73.976674,3,
40.860976,-73.880575,1,
40.750611,-74.003868,1,
40.769734,-73.989987,1,
40.777236,-73.986282,4,
40.792833,-73.851857,2,
40.805304,-73.964058,1,
40.840546,-73.907469,2,
40.710529,-73.920757,13,
40.711513,-74.012204,9,
40.720101,-73.881488,8,
40.747278,-73.995335,1,
40.765132,-73.978359,1,
40.772544,-73.976686,2,
40.790856,-73.963631,4,
40.807098,-73.947873,3,
40.810582,-73.941006,1,
40.810688,-73.945110,2,
40.815265,-73.937578,1,
40.820329,-73.949395,1,
40.834176,-73.881968,5,
40.572130,-73.979330,49,
40.703717,-74.016094,156,
40.727770,-73.929200,21,
40.747108,-73.998858,1,
40.752722,-73.983083,1,
40.764466,-73.975454,1,
40.766014,-73.974004,46,
40.773086,-73.944471,40,
40.792579,-73.966109,1,
40.804508,-73.944046,6,
40.809613,-73.949404,1,
40.819844,-73.953726,1,
40.843104,-73.932910,33,
40.856389,-73.876667,34,
40.877713,-73.922302,17,
40.679695,-73.777254,2,
40.728774,-73.982992,2,
40.729835,-73.985105,4,
40.734124,-73.997710,1,
40.744299,-73.996872,2,
40.748704,-73.990750,1,
40.754433,-73.990386,1,
40.756000,-73.984811,2,
40.760915,-73.978252,1,
40.762584,-73.975753,1,
40.766325,-73.984615,1,
40.768033,-73.957302,1,
40.786261,-73.973799,1,
40.787428,-73.972923,1,
40.793227,-73.921286,3,
40.793366,-73.935247,2,
40.798468,-73.935220,1,
40.808534,-73.947216,1,
40.826421,-73.948956,1,
40.525426,-74.200968,4,
40.698676,-73.909556,1,
40.712843,-74.014189,8,
40.726490,-73.978463,8,
40.729143,-73.992191,4,
40.732716,-73.992478,1,
40.736375,-73.998910,1,
40.760552,-73.965950,1,
40.763427,-73.975112,1,
40.763782,-73.979976,1,
40.766595,-73.980693,1,
40.767407,-73.961015,1,
40.772352,-73.971590,17,
40.774708,-73.946316,2,
40.776342,-73.951577,1,
40.778338,-73.973017,14,
40.794756,-73.940789,3,
40.794991,-73.974698,2,
40.805239,-73.924409,1,
40.811099,-73.959306,8,
40.815139,-73.933096,21,
40.843726,-73.943973,20,
40.846820,-73.787498,1,
40.850425,-73.945942,47,
40.631478,-73.887022,2,
40.639706,-74.142963,46,
40.674222,-73.756128,1,
40.677572,-73.931352,1,
40.711947,-73.995910,1,
40.712005,-74.012048,11,
40.712458,-74.013018,14,
40.723633,-73.993527,4,
40.739714,-73.840785,124,
40.745667,-74.006870,2,
40.753792,-73.983607,15,
40.754952,-74.005900,5,
40.757507,-74.004004,6,
40.758903,-73.983667,1,
40.759628,-73.966793,1,
40.760407,-73.990002,1,
40.761459,-73.985473,1,
40.764283,-73.975014,1,
40.767973,-73.960245,1,
40.768240,-73.990434,1,
40.768769,-73.995647,5,
40.769651,-73.983292,1,
40.770637,-73.994230,3,
40.770915,-73.888955,1,
40.771206,-73.954696,1,
40.773235,-73.992333,1,
40.777260,-73.977710,1,
40.782620,-73.972400,1,
40.783835,-73.975271,1,
40.793574,-73.950562,1,
40.795409,-73.974327,3,
40.796122,-73.934207,1,
40.796840,-73.957826,7,
40.797096,-73.936516,3,
40.799845,-73.956203,1,
40.801234,-73.972310,50,
40.806649,-73.966068,1,
40.816036,-73.942025,1,
40.827784,-73.948317,3,
40.839742,-73.853900,2,
40.878110,-73.873995,1,
40.625625,-74.147332,6,
40.628701,-74.039903,1,
40.638461,-74.075834,1,
40.683132,-73.866271,1,
40.690344,-73.973833,15,
40.692844,-73.903549,1,
40.693695,-73.905062,2,
40.696236,-73.905203,5,
40.702389,-73.803540,4,
40.709646,-73.995096,1,
40.710344,-73.995473,1,
40.710846,-74.012440,9,
40.711697,-73.979697,5,
40.712646,-73.899350,1,
40.718788,-73.937265,1,
40.727666,-73.998179,1,
40.733630,-73.983995,11,
40.734820,-73.995554,1,
40.735258,-73.976782,5,
40.736604,-73.975794,3,
40.737800,-73.974788,1,
40.741869,-73.974893,6,
40.742216,-73.988036,2,
40.742292,-74.003419,1,
40.742493,-73.974438,7,
40.743898,-74.002215,1,
40.745299,-74.004871,1,
40.746729,-73.980567,1,
40.747456,-73.853688,2,
40.749020,-73.999521,23,
40.750912,-73.994402,1,
40.750991,-73.996920,4,
40.752117,-73.997261,6,
40.753307,-74.000082,3,
40.753773,-74.003105,1,
40.754394,-74.002660,6,
40.755568,-74.005443,2,
40.757610,-73.980234,1,
40.760231,-73.977382,2,
40.761945,-73.973666,1,
40.764507,-73.979691,1,
40.765827,-73.981112,2,
40.768447,-73.966824,1,
40.768805,-73.950337,3,
40.772731,-73.947522,1,
40.772923,-73.985783,7,
40.772977,-73.965560,1,
40.774409,-73.965613,11,
40.775675,-73.964675,8,
40.776593,-73.986743,4,
40.776873,-73.960732,1,
40.777860,-73.985835,4,
40.784388,-73.983300,5,
40.784568,-73.943763,1,
40.785572,-73.946148,11,
40.788383,-73.947002,2,
40.792252,-73.944172,1,
40.793403,-73.975587,3,
40.794087,-73.936823,7,
40.794171,-73.966580,3,
40.794802,-73.966120,4,
40.795721,-73.938749,2,
40.796028,-73.941427,4,
40.796656,-73.940969,2,
40.797317,-73.964286,2,
40.797376,-73.944625,2,
40.799203,-73.933093,11,
40.799831,-73.932635,7,
40.803878,-73.954832,1,
40.804170,-73.964067,2,
40.805123,-73.964944,1,
40.807516,-73.960564,1,
40.809134,-73.964720,1,
40.811951,-73.957332,12,
40.812840,-73.961667,1,
40.817054,-73.954841,1,
40.824150,-73.954834,3,
40.832460,-73.945016,1,
40.837212,-73.936697,2,
40.842308,-73.930277,28,
40.843924,-73.942702,1,
40.852201,-73.850728,6,
40.864328,-73.916612,2,
40.873377,-73.843404,1,
40.877903,-73.871819,2,
40.880076,-73.868128,2,
40.901376,-73.899777,2,
40.632274,-74.037909,8,
40.640678,-74.167329,1,
40.673678,-73.865755,1,
40.691184,-73.868059,3,
40.696652,-73.905950,6,
40.696976,-73.906521,3,
40.698240,-73.908776,3,
40.711060,-73.990589,1,
40.713844,-74.005451,1,
40.716163,-74.010167,1,
40.716482,-73.995007,1,
40.720029,-73.981559,1,
40.720566,-73.983045,3,
40.725446,-73.974721,6,
40.726111,-73.993156,2,
40.726312,-74.006438,1,
40.726347,-74.000033,1,
40.729790,-73.981632,1,
40.730823,-73.997332,8,
40.746029,-73.978832,1,
40.748298,-73.985541,1,
40.751112,-73.975306,2,
40.751291,-73.991372,1,
40.752795,-73.977185,2,
40.753005,-73.992003,1,
40.756678,-73.977271,1,
40.758462,-73.972211,1,
40.758858,-73.987370,1,
40.762216,-73.773091,1,
40.762607,-73.975115,1,
40.762991,-73.986424,1,
40.765063,-73.977580,1,
40.766070,-73.940758,2,
40.768962,-73.964166,1,
40.769122,-73.966484,2,
40.771683,-73.962495,1,
40.772565,-73.961847,1,
40.775130,-73.943697,47,
40.775934,-73.925275,9,
40.776109,-73.959264,1,
40.776560,-73.944536,1,
40.780095,-73.954321,1,
40.787133,-73.815367,4,
40.787868,-73.979575,3,
40.790350,-73.941729,6,
40.790523,-73.948785,1,
40.792859,-73.941779,1,
40.795952,-73.973769,2,
40.800294,-73.945533,3,
40.801032,-73.936836,2,
40.803441,-73.941172,2,
40.804993,-73.967230,2,
40.805093,-73.959127,3,
40.805926,-73.966312,1,
40.811362,-73.964059,1,
40.814769,-73.941215,1,
40.838246,-73.876685,3,
40.848285,-73.938620,3,
40.675478,-73.946775,1,
40.677778,-73.784722,5,
40.680079,-74.003771,4,
40.693586,-73.981714,8,
40.706976,-74.009714,3,
40.708311,-74.012698,1,
40.709114,-74.006834,1,
40.713160,-74.006389,65,
40.715287,-74.008429,1,
40.716014,-73.937268,1,
40.716695,-73.996138,1,
40.722122,-73.987906,1,
40.730391,-74.006171,1,
40.732781,-73.995196,1,
40.732873,-73.978533,6,
40.733156,-73.994271,1,
40.735708,-73.990442,4,
40.738053,-74.002251,4,
40.739538,-73.988942,1,
40.748361,-73.979062,1,
40.748746,-73.978791,1,
40.750328,-73.976166,1,
40.752730,-73.986342,1,
40.756732,-73.954224,61,
40.757421,-73.987707,3,
40.758856,-73.966492,1,
40.759034,-73.986747,1,
40.760856,-73.987927,1,
40.762816,-73.967049,1,
40.764667,-73.996233,1,
40.769012,-73.948560,2,
40.769731,-73.964043,1,
40.769904,-73.967597,2,
40.770044,-73.992433,1,
40.771133,-73.966609,1,
40.771484,-73.946445,5,
40.773567,-73.962645,1,
40.776941,-73.944040,2,
40.784351,-73.981923,1,
40.784715,-73.956736,1,
40.792935,-73.947168,1,
40.793424,-73.971555,1,
